0.0105683362 1014.3786388606
0.0311819172 1012.6640571034
0.0517954982 1009.9363133988
0.0724090791 1005.8057300747
0.0930226601 1000.1164360622
0.1136362411 992.5566892237
0.1342498220 982.4250697495
0.1548634030 967.3055760726
0.1745400030 949.2245320878
0.1923426411 931.1261690953
0.2101452792 912.2752952206
0.2288848983 893.3291668037
0.2485614983 874.6402256505
0.2682380983 856.6371172001
0.2869777174 837.8624469590
0.3038433745 819.8807707806
0.3188350698 800.5917260123
0.3328897841 780.3382290056
0.3460075174 759.7632479195
0.3581882698 740.0455577119
0.3694320412 722.4710947008
0.3816127936 704.0393408112
0.3956675079 684.8574574027
0.4115961841 664.9849785643
0.4284618413 646.3150883195
0.4462644794 627.9119107924
0.4650040984 609.0515114634
0.4828067366 590.5911812111
0.4996723937 572.3975636766
0.5165380509 552.8703825532
0.5334037080 533.2479468877
0.5502693652 513.9112748484
0.5680720033 495.1175536989
0.5877486033 476.7793224505
0.6083621843 458.8541495346
0.6289757652 443.7346558576
0.6495893462 429.4724530593
0.6702029272 415.5999279330
0.6908165081 400.7921763937
0.7104931081 383.2410940430
0.7273587653 364.9807983290
0.7423504605 345.7989149206
0.7564051748 326.2190036042
0.7695229082 307.4810744007
0.7826406415 288.8656153228
0.7966953558 270.4644789645
0.8116870511 252.1398864347
0.8285527082 233.1294612019
0.8472923273 213.8404164337
0.8669689273 195.6658498076
0.8866455273 176.8054504786
0.9044481654 158.3260693179
0.9203768416 139.8347813394
0.9353685369 121.6173501694
0.9503602321 101.8996599618
0.9653519273 81.7533243150
0.9812806036 61.7379636635
0.9944136162 44.0206188393
1.0159017127 31.7839051347
1.0367148234 23.6501266406
1.0593776289 17.0705733364
1.0849673203 11.9601328904
1.1078431373 7.9734219269
1.1296296296 5.9800664452
1.1514161220 3.9867109635
1.1742919390 2.9900332226
1.1960784314 2.9900332226
