0.0048458887 4.0725422010
0.0325911611 4.0589124517
0.0568159505 4.0255752373
0.0761877338 3.9758998561
0.0945113076 3.9213596078
0.1121563460 3.8532395131
0.1333444886 3.7734125432
0.1491762529 3.6962592673
0.1666853940 3.6099360043
0.1780122184 3.5477012244
0.1929524902 3.4886913473
0.2043686679 3.4205911758
0.2174061804 3.3495649496
0.2320777411 3.2644984424
0.2471342172 3.1743244222
0.2602583039 3.0906668840
0.2753155757 3.0024301963
0.2907581969 2.9101427226
0.3061964777 2.8072879809
0.3218637215 2.7234543215
0.3358641936 2.6400956314
0.3494348187 2.5464525828
0.3664299288 2.4649658770
0.3794298106 2.3858874882
0.3921219501 2.3003669090
0.4067063587 2.2153448526
0.4220264086 2.1401411287
0.4374733701 2.0584209230
0.4495685524 1.9767007172
0.4630614201 1.8992074187
0.4797970162 1.8168983968
0.4931422059 1.7477432442
0.5069835395 1.6878620590
0.5264303879 1.6065488179
0.5440731454 1.5328754619
0.5626169839 1.4530338815
0.5811617869 1.3755405830
0.5997090012 1.3039179888
0.6182557332 1.2311212538
0.6368034298 1.1606728006
0.6553520908 1.0925726291
0.6739017164 1.0268207395
0.6924508597 0.9598947089
0.7110019321 0.8976652419
0.7295525222 0.8342616339
0.7481035946 0.7720321669
0.7666556314 0.7121509817
0.7852081506 0.6534439373
0.8037601875 0.5935627521
0.8223127066 0.5348557077
0.8408652257 0.4761486633
0.8594177449 0.4174416190
0.8779707463 0.3599087155
0.8965237477 0.3023758120
0.9150772313 0.2460170494
0.9336307150 0.1896582868
0.9521861277 0.1379960878
0.9707463630 0.0980752976
0.9893109386 0.0687217755
1.0078798546 0.0499355213
1.0264550399 0.0464130986
1.0450278139 0.0370199715
1.0636025170 0.0323234080
1.0821791491 0.0323234080
1.1007557812 0.0323234080
1.1193324133 0.0323234080
1.1379085632 0.0311492671
1.1564832663 0.0264527035
1.1750594161 0.0252785626
1.1920885742 0.0266875317
