x,y
0.0070650998486049554, 1.0054106260593598
0.02397087448633836, 1.011224710591799
0.04087664912407177, 1.011224710591799
0.057782423761805174, 1.0075248386166105
0.07468819839953858, 1.0048820729200474
0.09159397303727199, 1.002767860362797
0.10849974767500539, 0.9985394352482958
0.12540552231273874, 0.9921967975765442
0.14231129695047215, 0.9863827130441052
0.15921707158820556, 0.9784544159544157
0.17612284622593896, 0.9705261188647262
0.19302862086367237, 0.9620692686357241
0.20993439550140577, 0.9509696527101589
0.22684017013913918, 0.9398700367845936
0.24374594477687253, 0.927713314580403
0.26065171941460596, 0.9139709329582746
0.2775574940523393, 0.8986428919182082
0.2944632686900728, 0.8838434040174545
0.3113690433278061, 0.865872597280825
0.3282748179655395, 0.8479017905441955
0.34518059260327294, 0.8288738775289407
0.3620863672410063, 0.8087888582350606
0.37899214187873975, 0.7871181795232426
0.3958979165164731, 0.7659760539507374
0.41280369115420656, 0.742191162681669
0.4297094657919399, 0.718934824551913
0.4466152404296734, 0.6930357207255942
0.4635210150674067, 0.6676651700385878
0.4804267897051401, 0.6422946193515813
0.4959237497897291, 0.6186154387103753
0.511420709874318, 0.593667730534819
0.5283264845120514, 0.5682971798478127
0.5452322591497848, 0.5423980760214937
0.5621380337875183, 0.515970419055862
0.5790438084252516, 0.49007131522954306
0.5945407685098406, 0.46575787082116205
0.608628914041285, 0.4448271665043817
0.6241258741258741, 0.42135940711890085
0.6420379448729963, 0.39961322081575257
0.6579374234013408, 0.3706183057448882
0.6762520125922187, 0.3543652967110247
0.6917489726768076, 0.3235770763460639
0.7075913776944703, 0.30168776371308037
0.7255605219522744, 0.27970716578311516
0.7413308341143391, 0.2594936708860762
0.7593720712277412, 0.2390085740560426
0.7750702905342078, 0.21940928270042215
0.793183620503208, 0.2020098543041582
0.8069353327085286, 0.18565400843881874
0.8269951697786747, 0.16765390024883708
0.8444236176194938, 0.14978902953586526
0.8678507918198638, 0.13039090392729658
0.8837863167760073, 0.11814345991561193
0.9002535265421862, 0.10792739550650965
0.916588566073102, 0.09493670886075978
0.9340650758176531, 0.08361395109812864
0.9512652296157448, 0.07172995780590741
0.9678766250931198, 0.06352893180424846
0.9847823997308532, 0.056129187853871665
0.9981661379857255, 0.05031510332143263
