x,y
0.023208823539818402, 1.5568002013808975
0.031633670551303034, 1.5568002013808975
0.05972048296032914, 1.5483673762945913
0.06955013597996298, 1.5469619054468737
0.0962346355292216, 1.5346640355293442
0.10606511959831602, 1.5315017261219792
0.13275227850584845, 1.5135819728135789
0.14258475709364823, 1.506203250863061
0.16927391051988608, 1.4840670850115074
0.17910705394725432, 1.475282892213272
0.20580052883068709, 1.4440111658515535
0.21422886624990609, 1.4366324439010356
0.23951986206367923, 1.401847040420023
0.24935400275040018, 1.390954641350211
0.27324168844505314, 1.3544123993095512
0.28307732502080307, 1.3403576908323744
0.3069680024935142, 1.2974908299769852
0.31539783580176217, 1.2869497986191023
0.3378845383157846, 1.2437315700517837
0.34631586751306165, 1.2300282292865363
0.3688035672864366, 1.184701794447641
0.3786400349116471, 1.168890247410817
0.40253387037230837, 1.1193474000287686
0.41096519956958544, 1.1056440592635213
0.4306446170057989, 1.060317624424626
0.4404814170507937, 1.0438033419639432
0.4643754187213469, 0.9939091268699656
0.4728072465483003, 0.97915168296893
0.49248616535483747, 0.9348793512658229
0.5023227991899402, 0.9187164365170695
0.5262169670703856, 0.8684708537111623
0.5346482962676626, 0.8547675129459149
0.557136494670714, 0.8083869749712314
0.5655693197570201, 0.7915213247986193
0.5880555236413662, 0.7493571993670887
0.5964873514683195, 0.734599755466053
0.618974053982342, 0.6913815268987342
0.628809856767984, 0.676975450709628
0.6527008666604792, 0.6334058544303798
0.6611316972280799, 0.6207566168009206
0.6836174024827496, 0.5796465945051785
0.6934528728486075, 0.5659432537399312
0.7173412233828288, 0.5279955408515535
0.7271775247981472, 0.512535361526659
0.7510660415422609, 0.4742362809263523
0.7609001822289817, 0.4633438818565403
0.7847873692939582, 0.4278557429516687
0.7946221748202478, 0.41555787303413894
0.8185101929346847, 0.37831289556962044
0.8283454970906508, 0.3649609225163024
0.8522320193160589, 0.33087825445914865
0.8620668248423482, 0.31858038454161886
0.8859553415864618, 0.2802813039413121
0.8957881525940457, 0.2721998465669353
0.9196766693381593, 0.23390076596662857
0.9295114748644486, 0.22160289604909877
0.9533989943492094, 0.18541202172036853
0.9632328026161463, 0.17522235807441522
0.9871213193602595, 0.13692327747410848
0.9955516512981841, 0.1253281429804376
