0.0118379434 2225.5938421139
0.0391471306 2224.0729273889
0.0641047507 2215.1670928761
0.0969685459 2196.1851295316
0.1264186926 2178.6591691328
0.1537227115 2171.0980023472
0.1794064748 2162.7461203322
0.2034533703 2169.1582496998
0.2266419623 2175.8011714546
0.2550390722 2182.6247265826
0.2864441206 2184.6470283769
0.3159071880 2167.8187461898
0.3398927410 2131.9748241551
0.3638520218 2072.2123488163
0.3825120938 2020.4777932438
0.4035366534 1942.2888252702
0.4207702803 1868.9506401184
0.4370503597 1802.7052238806
0.4523381295 1725.7462686567
0.4712462788 1643.6779694508
0.4865107914 1571.8283582090
0.5048375093 1490.9591321410
0.5213424088 1413.4491385159
0.5387698462 1341.0319094184
0.5521582734 1268.6567164179
0.5675158149 1198.4472962382
0.5811869470 1132.9803330093
0.5972044778 1069.0620174987
0.6164087695 989.9880983016
0.6334217109 923.5216101008
0.6553429670 844.9502219506
0.6785071942 755.5402205031
0.7041935417 681.8201110110
0.7304096378 609.7474918443
0.7511241007 556.1549261850
0.7746569985 507.8921510061
0.7941655296 469.3006032450
0.8148923964 434.6074047864
0.8380143176 391.5417045775
0.8638268265 346.3694901512
0.8894134692 307.8246518843
0.9114441206 275.2505351378
0.9361088715 236.0987560572
0.9588579137 208.4651276663
0.9936895311 164.5429908646
