x,y
0.000021027082882707493, 1.1222208698474518
0.029606132698916182, 1.1248636355440151
0.03946783457092731, 1.1253921886833276
0.06905294018696076, 1.1190495510115759
0.10568211856871648, 1.111649807061199
0.11554382044072761, 1.1095355945039487
0.14231129695047215, 1.0968503191604455
0.15217299882248334, 1.0936790003245696
0.17894047533222787, 1.0778224061451906
0.188802177204239, 1.074651087309315
0.21556965371398354, 1.054566068015435
0.25219883209573923, 1.0244385390746147
0.28601038137120605, 0.9916682444372316
0.31982193064667286, 0.9541409715460346
0.35081585081585076, 0.9144994860975871
0.36067755268786184, 0.9065711890078977
0.3846274000913176, 0.8685153629773881
0.4156213202604955, 0.8220026867178764
0.4466152404296734, 0.7733757979011142
0.47760916059885117, 0.7221061433877888
0.5057854516617403, 0.6718935951530887
0.5353705572777737, 0.621152493779076
0.5649556628938072, 0.5688257329871254
0.5959495830629851, 0.5154418659165496
0.6232805853939873, 0.4689291896570378
0.655119794295052, 0.4171309820043998
0.6861137144642299, 0.3679755400483249
0.7171076346334077, 0.32225569349778227
0.7523279984620189, 0.27759295322586475
0.7903659913969191, 0.2326659363842909
0.9876000288371422, 0.055072081575246346
0.999340150113346, 0.04925799704280731
0.8200562324273665, 0.20253164556962044
0.852858481724461, 0.16877637130801704
0.8856607310215557, 0.13502109704641363
0.9194001874414245, 0.10759493670886111
0.9531396438612932, 0.08016877637130837
