0.1014552459 4.3753286658
0.1014552459 4.2596325822
0.1015178609 4.1528711439
0.1021840054 4.0542642473
0.1026570597 4.6378394621
0.1027863328 4.5084516592
0.2284934678 3.5089054896
0.2288176766 3.4046716400
0.2290321847 3.8728889912
0.2291732284 3.6426003614
0.2294657211 3.7641880909
0.3925605453 2.8818864555
0.3926118502 3.1349083976
0.3927397756 2.7763626890
0.3928396900 2.9959795769
0.5627356140 2.4221206804
0.5636302382 2.5551580829
0.5649165800 2.2859926361
0.6239132535 3.8657684062
0.6272700927 4.0323165714
0.6278624761 3.6756173659
0.6414026681 3.7684478677
0.6466212838 4.0231467782
0.6505705064 3.6633430659
0.7284095817 1.7305896856
0.7286235302 1.8646771241
0.8762756842 1.1338634661
0.9893868193 0.3522395480
1.0072022917 0.2587605988
1.0196582739 0.1269447650
1.0401272275 0.2707420814
1.0405562437 0.1437435031
1.0410263893 0.0589223475
